选择配置文件,是否使用GPU预测,选择模型路径,音频1路径,音频2路径,判断阈值,output,flag,username,timestamp
configs\cam++.yml,True,models\CAMPPlus_Fbank\best_model,"{""path"":""flagged\\音频1路径\\9a3da8a0812953985fc2\\录音.m4a"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\32152\\AppData\\Local\\Temp\\gradio\\2c174862d2bc9c8439450d283c2a2d1dccaeeae5\\录音.m4a"",""size"":79980,""orig_name"":""录音.m4a"",""mime_type"":""""}","{""path"":""flagged\\音频2路径\\65f0b451386a5e12b687\\录音 2.m4a"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\32152\\AppData\\Local\\Temp\\gradio\\0080189d6dddd4e56b4122ef0e0ba3bd2a8d8bf6\\录音 2.m4a"",""size"":73400,""orig_name"":""录音 (2).m4a"",""mime_type"":""""}",0.6,相似度为：0.50084，判断为不同人,,,2024-01-28 17:33:50.902651
configs\cam++.yml,False,models\训练更大数据集的模型\CAMPPlus训练更大数据集\models\CAMPPlus_Fbank\best_model,"{""path"":""flagged\\音频1路径\\93ecf0835b62ec645300\\录音.m4a"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\32152\\AppData\\Local\\Temp\\gradio\\2c174862d2bc9c8439450d283c2a2d1dccaeeae5\\录音.m4a"",""size"":79980,""orig_name"":""录音.m4a"",""mime_type"":""""}","{""path"":""flagged\\音频2路径\\70e3c3d6df0965d5eb1d\\录音 2.m4a"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\32152\\AppData\\Local\\Temp\\gradio\\0080189d6dddd4e56b4122ef0e0ba3bd2a8d8bf6\\录音 2.m4a"",""size"":73400,""orig_name"":""录音 (2).m4a"",""mime_type"":""""}",0.6,相似度为：0.79396，判断为同一个人,,,2024-01-29 00:36:05.848248
